iter	Passed	Remaining
0	14	14632
1	28	14328
2	42	13978
3	56	14027
4	69	13925
5	84	13929
6	97	13837
7	113	14013
8	132	14558
9	145	14440
10	159	14315
11	172	14205
12	185	14095
13	198	14014
14	212	13942
15	225	13858
16	237	13748
17	250	13674
18	263	13599
19	276	13550
20	289	13512
21	321	14297
22	341	14520
23	373	15189
24	400	15624
25	429	16095
26	463	16712
27	481	16705
28	499	16710
29	516	16688
30	528	16531
31	541	16365
32	553	16217
33	566	16095
34	578	15937
35	591	15829
36	603	15700
37	617	15619
38	629	15509
39	641	15404
40	653	15293
41	674	15383
42	693	15434
43	706	15352
44	718	15254
45	730	15157
46	743	15071
47	756	15004
48	768	14912
49	782	14861
50	794	14785
51	807	14715
52	819	14644
53	833	14600
54	844	14512
55	858	14467
56	872	14437
57	885	14384
58	898	14327
59	912	14302
60	924	14234
61	937	14182
62	950	14136
63	964	14098
64	977	14063
65	990	14022
66	1002	13967
67	1014	13910
68	1027	13865
69	1042	13845
70	1054	13791
71	1066	13746
72	1078	13698
73	1092	13669
74	1108	13668
75	1123	13658
76	1140	13674
77	1154	13646
78	1166	13599
79	1180	13571
80	1191	13522
81	1204	13483
82	1215	13434
83	1228	13393
84	1240	13354
85	1253	13324
86	1265	13285
87	1280	13269
88	1292	13227
89	1306	13210
90	1319	13182
91	1331	13146
92	1344	13116
93	1359	13103
94	1372	13071
95	1385	13045
96	1398	13021
97	1411	12995
98	1425	12971
99	1439	12954
100	1451	12917
101	1464	12892
102	1475	12851
103	1488	12823
104	1499	12782
105	1513	12764
106	1526	12739
107	1538	12705
108	1552	12687
109	1583	12814
110	1606	12868
111	1625	12884
112	1645	12914
113	1661	12910
114	1681	12940
115	1719	13104
116	1748	13194
117	1779	13304
118	1816	13447
119	1846	13543
120	1878	13649
121	1908	13736
122	1937	13813
123	1967	13901
124	1999	13998
125	2033	14106
126	2060	14167
127	2090	14243
128	2136	14425
129	2167	14507
130	2203	14617
131	2229	14660
132	2254	14698
133	2281	14742
134	2313	14825
135	2344	14892
136	2372	14942
137	2394	14959
138	2423	15012
139	2451	15058
140	2483	15127
141	2518	15215
142	2545	15256
143	2572	15293
144	2604	15355
145	2638	15430
146	2667	15478
147	2695	15515
148	2724	15562
149	2750	15588
150	2790	15691
151	2821	15738
152	2857	15818
153	2896	15912
154	2924	15945
155	2954	15986
156	2989	16050
157	3014	16066
158	3045	16106
159	3083	16187
160	3115	16235
161	3157	16335
162	3190	16383
163	3223	16431
164	3252	16460
165	3282	16492
166	3313	16529
167	3343	16558
168	3370	16575
169	3408	16639
170	3447	16715
171	3490	16804
172	3522	16836
173	3555	16880
174	3583	16894
175	3615	16927
176	3647	16959
177	3680	16995
178	3721	17070
179	3759	17128
180	3794	17168
181	3822	17181
182	3851	17193
183	3885	17232
184	3925	17293
185	3955	17309
186	3991	17351
187	4018	17357
188	4057	17410
189	4087	17427
190	4120	17451
191	4175	17573
