iter	Passed	Remaining
0	15	15672
1	30	15210
2	45	15210
3	60	15167
4	77	15326
5	92	15252
6	108	15391
7	132	16400
8	150	16570
9	169	16773
10	184	16627
11	199	16431
12	215	16326
13	229	16169
14	244	16033
15	258	15886
16	272	15730
17	287	15665
18	301	15583
19	321	15761
20	335	15644
21	349	15528
22	363	15435
23	379	15441
24	393	15344
25	407	15264
26	421	15183
27	436	15151
28	452	15149
29	466	15088
30	481	15037
31	494	14957
32	508	14900
33	523	14870
34	536	14799
35	550	14754
36	565	14707
37	581	14716
38	595	14672
39	610	14660
40	624	14611
41	640	14610
42	654	14555
43	667	14492
44	683	14499
45	699	14504
46	718	14559
47	732	14521
48	747	14507
49	761	14475
50	777	14468
51	792	14456
52	806	14418
53	820	14379
54	834	14337
55	850	14343
56	864	14306
57	880	14306
58	895	14290
59	909	14256
60	924	14236
61	941	14242
62	955	14209
63	970	14196
64	985	14169
65	998	14133
66	1013	14111
67	1027	14082
68	1043	14077
69	1057	14044
70	1072	14029
71	1087	14012
72	1103	14016
73	1116	13973
74	1132	13972
75	1152	14015
76	1170	14034
77	1185	14014
78	1197	13962
79	1213	13959
80	1227	13931
81	1240	13890
82	1253	13850
83	1268	13832
84	1282	13804
85	1296	13783
86	1315	13804
87	1329	13782
88	1344	13762
89	1358	13736
90	1372	13713
91	1386	13688
92	1399	13648
93	1414	13633
94	1428	13613
95	1443	13591
96	1456	13556
97	1469	13523
98	1483	13497
99	1498	13490
100	1512	13460
101	1525	13433
102	1540	13416
103	1552	13373
104	1566	13352
105	1581	13336
106	1595	13318
107	1609	13296
108	1623	13269
109	1636	13242
110	1650	13215
111	1663	13192
112	1675	13151
113	1688	13119
114	1702	13101
115	1722	13126
116	1738	13117
117	1753	13104
118	1766	13075
119	1779	13052
120	1793	13030
121	1809	13024
122	1824	13006
123	1836	12972
124	1850	12954
125	1864	12932
126	1877	12903
127	1893	12900
128	1907	12876
129	1922	12865
130	1936	12843
131	1949	12819
132	1962	12795
133	1975	12766
134	1987	12734
135	2000	12705
136	2014	12691
137	2028	12668
138	2043	12658
139	2057	12640
140	2072	12623
141	2087	12614
142	2102	12600
143	2116	12580
144	2130	12563
145	2148	12569
146	2175	12625
147	2197	12651
148	2216	12659
149	2236	12672
150	2257	12693
151	2292	12787
152	2345	12987
153	2386	13110
154	2419	13190
155	2458	13301
156	2496	13404
157	2528	13472
158	2562	13556
159	2595	13627
160	2633	13724
161	2665	13789
162	2696	13844
163	2726	13897
164	2766	13999
165	2797	14054
166	2830	14119
167	2867	14199
168	2896	14243
169	2929	14303
170	2960	14350
171	3001	14451
172	3045	14560
173	3107	14750
174	3158	14890
175	3192	14946
176	3220	14973
177	3261	15062
178	3297	15125
179	3328	15163
180	3358	15196
181	3380	15193
182	3396	15165
183	3431	15217
184	3463	15257
185	3488	15265
186	3508	15255
187	3538	15284
188	3567	15309
189	3590	15306
190	3614	15308
191	3629	15273
192	3656	15289
193	3696	15359
194	3724	15373
195	3751	15386
196	3774	15386
197	3798	15384
198	3823	15389
199	3859	15436
200	3874	15400
201	3894	15384
202	3924	15408
203	3963	15463
204	4009	15547
205	4048	15603
206	4073	15603
207	4092	15582
208	4112	15564
209	4135	15556
210	4149	15517
211	4162	15473
212	4176	15429
213	4191	15396
214	4205	15355
215	4220	15319
216	4232	15272
217	4244	15227
218	4257	15183
219	4270	15140
220	4291	15127
221	4305	15087
222	4321	15058
223	4368	15132
224	4388	15116
225	4404	15083
226	4419	15049
227	4434	15013
228	4448	14975
229	4464	14946
230	4479	14913
231	4495	14881
232	4509	14843
233	4525	14813
234	4538	14773
235	4553	14739
236	4567	14703
237	4581	14668
238	4596	14634
239	4608	14594
240	4621	14555
241	4633	14511
242	4648	14481
243	4660	14440
244	4676	14410
245	4695	14392
246	4716	14378
247	4729	14341
248	4746	14314
249	4767	14303
250	4781	14269
251	4796	14237
252	4812	14207
253	4827	14178
254	4840	14142
255	4854	14109
256	4869	14077
257	4885	14049
258	4899	14016
259	4910	13977
260	4926	13947
261	4939	13914
262	4957	13892
263	4970	13857
264	4984	13825
265	4997	13789
266	5010	13756
267	5025	13726
268	5039	13693
269	5068	13704
270	5100	13721
271	5144	13769
272	5186	13810
273	5229	13855
274	5274	13905
275	5306	13920
276	5330	13913
277	5364	13931
278	5391	13932
279	5421	13941
280	5441	13923
281	5466	13917
282	5499	13933
283	5529	13939
284	5563	13958
285	5582	13936
286	5602	13919
287	5620	13894
288	5633	13858
289	5647	13825
290	5661	13794
291	5673	13756
292	5688	13726
293	5701	13690
294	5715	13657
295	5730	13629
296	5743	13593
297	5755	13559
298	5776	13541
299	5791	13512
300	5805	13482
301	5819	13450
302	5834	13421
303	5851	13397
304	5867	13369
305	5880	13337
306	5895	13308
307	5912	13283
308	5926	13253
309	5941	13224
310	5956	13195
311	5971	13166
312	5985	13136
313	5999	13107
314	6014	13079
315	6029	13052
316	6046	13027
317	6062	13002
318	6079	12978
319	6093	12948
320	6106	12917
321	6118	12883
322	6133	12856
323	6149	12830
324	6163	12801
325	6176	12770
326	6191	12742
327	6205	12712
328	6220	12686
329	6232	12653
330	6248	12629
331	6270	12617
332	6287	12593
333	6315	12593
334	6329	12563
335	6347	12544
336	6362	12516
337	6376	12488
338	6389	12458
339	6405	12433
340	6417	12402
341	6430	12371
342	6442	12340
343	6458	12316
344	6473	12290
345	6488	12263
346	6503	12237
347	6516	12208
348	6530	12180
349	6547	12158
350	6560	12130
351	6576	12106
352	6591	12080
353	6608	12060
354	6622	12031
355	6636	12005
356	6650	11978
357	6664	11950
358	6680	11928
359	6696	11905
360	6710	11877
361	6723	11850
362	6739	11826
363	6751	11797
364	6766	11771
365	6784	11752
366	6798	11725
367	6812	11700
368	6825	11671
369	6840	11647
370	6853	11619
371	6868	11595
372	6880	11565
373	6896	11544
374	6912	11521
375	6932	11505
376	6952	11489
377	6971	11471
378	6987	11449
379	7000	11422
380	7015	11397
381	7029	11372
382	7043	11346
383	7056	11320
384	7070	11294
385	7084	11269
386	7098	11244
387	7111	11216
388	7125	11192
389	7141	11170
390	7155	11145
391	7170	11121
392	7183	11094
393	7200	11074
394	7213	11048
395	7228	11025
396	7243	11002
397	7260	10982
398	7273	10955
399	7286	10929
400	7300	10905
401	7315	10882
402	7330	10858
403	7346	10838
404	7360	10813
405	7376	10791
406	7389	10767
407	7404	10744
408	7418	10719
409	7435	10700
410	7452	10680
411	7466	10655
412	7482	10635
413	7495	10609
414	7510	10587
415	7524	10562
416	7540	10542
417	7555	10520
418	7569	10496
419	7584	10473
420	7600	10453
421	7616	10431
422	7629	10407
423	7643	10383
424	7655	10357
425	7669	10333
426	7681	10308
427	7695	10284
428	7707	10258
429	7720	10234
430	7735	10212
431	7749	10189
432	7763	10166
433	7783	10150
434	7798	10129
435	7811	10105
436	7826	10083
437	7841	10061
438	7856	10039
439	7876	10024
440	7896	10009
441	7932	10014
442	7992	10048
443	8015	10037
444	8044	10033
445	8079	10036
446	8097	10017
447	8110	9993
448	8124	9970
449	8138	9947
450	8152	9923
451	8165	9900
452	8181	9878
453	8196	9857
454	8210	9834
455	8223	9810
456	8238	9788
457	8252	9766
458	8266	9742
459	8278	9718
460	8293	9696
461	8308	9674
462	8322	9652
463	8339	9633
464	8357	9615
465	8382	9605
466	8399	9586
467	8412	9562
468	8426	9540
469	8441	9518
470	8455	9496
471	8469	9474
472	8482	9450
473	8497	9430
474	8510	9406
475	8523	9383
476	8537	9360
477	8548	9335
478	8565	9316
479	8579	9294
480	8592	9271
481	8609	9252
482	8623	9230
483	8637	9208
484	8650	9185
485	8665	9164
486	8678	9141
487	8693	9120
488	8710	9102
489	8723	9079
490	8736	9057
491	8750	9035
492	8762	9011
493	8777	8991
494	8799	8976
495	8813	8955
496	8830	8937
497	8845	8916
498	8858	8893
499	8873	8873
500	8888	8853
501	8902	8831
502	8914	8807
503	8927	8786
504	8942	8765
505	8956	8744
506	8970	8722
507	8983	8700
508	8997	8679
509	9011	8657
510	9026	8637
511	9040	8616
512	9053	8594
513	9067	8573
514	9082	8553
515	9096	8532
516	9109	8510
517	9125	8491
